# Annotazioni dei componenti di terze parti - traguardo T-03, criterio 5.
#
# Formato dichiarato in pipeline/README-COMPONENTI.md. Dati separati da tabulazione, righe di
# commento con «#». Il controllo scripts/verifica-registro-componenti.sh confronta questo file con
# la distinta generata e FA FALLIRE la costruzione quando un componente è presente nella distinta
# e assente da qui, oppure quando un componente ha licenza segnata come incompatibile o
# indeterminabile. Modificare questo file senza leggere il README produce quasi sempre un errore
# che il README avrebbe evitato.
#
componente	versione	licenza_dichiarata	compatibilita_apache_2_0	motivo_inclusione	canale_di_avviso
@csstools/postcss-oklab-function	4.0.12	MIT-0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira postcss-preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@csstools/postcss-position-area-property	1.0.0	MIT-0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira postcss-preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@csstools/postcss-progressive-custom-properties	4.2.1	MIT-0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @csstools/postcss-alpha-function, @csstools/postcss-color-function, @csstools/postcss-color-function-display-p3-linear e altri 14. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@csstools/postcss-property-rule-prelude-list	1.0.0	MIT-0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira postcss-preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@csstools/postcss-random-function	2.0.1	MIT-0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira postcss-preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@csstools/postcss-relative-color-syntax	3.0.12	MIT-0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira postcss-preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@csstools/postcss-scope-pseudo-class	4.0.1	MIT-0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira postcss-preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@csstools/postcss-sign-functions	1.1.4	MIT-0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira postcss-preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@csstools/postcss-stepped-value-functions	4.0.9	MIT-0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira postcss-preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@csstools/postcss-syntax-descriptor-syntax-production	1.0.1	MIT-0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira postcss-preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@csstools/postcss-system-ui-font-family	1.0.0	MIT-0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira postcss-preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@csstools/postcss-text-decoration-shorthand	4.0.3	MIT-0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira postcss-preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@csstools/postcss-trigonometric-functions	4.0.9	MIT-0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira postcss-preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@csstools/postcss-unset-value	4.0.0	MIT-0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira postcss-preset-env. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@csstools/utilities	2.0.0	MIT-0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @csstools/postcss-alpha-function, @csstools/postcss-color-function, @csstools/postcss-color-function-display-p3-linear e altri 20. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@discoveryjs/json-ext	0.5.7	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira webpack-bundle-analyzer. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docsearch/core	4.7.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docsearch/react. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docsearch/css	4.7.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docsearch/react. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docsearch/react	4.7.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/theme-search-algolia. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/babel	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/bundler, @docusaurus/core. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/bundler	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/core. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/cssnano-preset	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/bundler. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/logger	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/babel, @docusaurus/bundler, @docusaurus/core e altri 8. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/mdx-loader	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/core, @docusaurus/plugin-content-blog, @docusaurus/plugin-content-docs e altri 3. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/module-type-aliases	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/plugin-content-docs, @docusaurus/theme-classic, @docusaurus/theme-common e altri 1. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/plugin-content-blog	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/preset-classic, @docusaurus/theme-classic. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/plugin-content-docs	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/plugin-content-blog, @docusaurus/preset-classic, @docusaurus/theme-classic e altri 3. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/plugin-content-pages	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/preset-classic, @docusaurus/theme-classic. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/plugin-css-cascade-layers	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/preset-classic. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/plugin-debug	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/preset-classic. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/plugin-google-analytics	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/preset-classic. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/plugin-google-gtag	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/preset-classic. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/plugin-google-tag-manager	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/preset-classic. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/plugin-sitemap	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/preset-classic. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/plugin-svgr	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/preset-classic. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/react-loadable	6.0.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/core, @docusaurus/module-type-aliases, react-loadable-ssr-addon-v5-slorber. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/theme-classic	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/preset-classic. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/theme-common	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/plugin-content-blog, @docusaurus/plugin-content-docs, @docusaurus/preset-classic e altri 4. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/theme-search-algolia	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/preset-classic. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/theme-translations	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/theme-classic, @docusaurus/theme-search-algolia, @easyops-cn/docusaurus-search-local. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/types	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/bundler, @docusaurus/module-type-aliases, @docusaurus/plugin-content-blog e altri 14. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/utils	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/babel, @docusaurus/bundler, @docusaurus/core e altri 13. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/utils-common	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/core, @docusaurus/plugin-content-blog, @docusaurus/plugin-content-docs e altri 6. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@docusaurus/utils-validation	3.10.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/core, @docusaurus/mdx-loader, @docusaurus/plugin-content-blog e altri 12. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@easyops-cn/autocomplete.js	0.38.1	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @easyops-cn/docusaurus-search-local. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@emnapi/core	1.11.3	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @napi-rs/wasm-runtime. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@emnapi/runtime	1.11.3	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @napi-rs/wasm-runtime. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@emnapi/wasi-threads	1.2.3	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @emnapi/core. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@hapi/hoek	9.3.0	BSD-3-Clause	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @hapi/topo, @sideway/address, joi. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@hapi/topo	5.1.0	BSD-3-Clause	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira joi. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@iconify/types	2.0.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @iconify/utils. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@iconify/utils	3.1.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira mermaid. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jest/schemas	29.6.3	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @jest/types. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jest/types	29.6.3	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira jest-util. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jridgewell/gen-mapping	0.3.13	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/generator, @jridgewell/remapping, @jridgewell/source-map. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jridgewell/remapping	2.3.5	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/core. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jridgewell/resolve-uri	3.1.2	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @jridgewell/trace-mapping. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jridgewell/source-map	0.3.11	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira terser. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jridgewell/sourcemap-codec	1.5.5	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @jridgewell/gen-mapping, @jridgewell/trace-mapping. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jridgewell/trace-mapping	0.3.31	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @babel/generator, @jridgewell/gen-mapping, @jridgewell/remapping e altri 4. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jsonjoy.com/base64	1.1.2	Apache-2.0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @jsonjoy.com/json-pack. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jsonjoy.com/buffers	17.67.0	Apache-2.0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @jsonjoy.com/fs-snapshot. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jsonjoy.com/codegen	1.0.0	Apache-2.0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @jsonjoy.com/json-pack, @jsonjoy.com/json-pointer, @jsonjoy.com/util. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jsonjoy.com/fs-core	4.68.1	Apache-2.0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @jsonjoy.com/fs-fsa, @jsonjoy.com/fs-node, memfs. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jsonjoy.com/fs-fsa	4.68.1	Apache-2.0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @jsonjoy.com/fs-node-to-fsa, memfs. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jsonjoy.com/fs-node	4.68.1	Apache-2.0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira memfs. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jsonjoy.com/fs-node-builtins	4.68.1	Apache-2.0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @jsonjoy.com/fs-core, @jsonjoy.com/fs-fsa, @jsonjoy.com/fs-node e altri 3. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jsonjoy.com/fs-node-to-fsa	4.68.1	Apache-2.0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira memfs. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jsonjoy.com/fs-node-utils	4.68.1	Apache-2.0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @jsonjoy.com/fs-core, @jsonjoy.com/fs-fsa, @jsonjoy.com/fs-node e altri 4. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jsonjoy.com/fs-print	4.68.1	Apache-2.0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @jsonjoy.com/fs-node, memfs. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jsonjoy.com/fs-snapshot	4.68.1	Apache-2.0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @jsonjoy.com/fs-node, memfs. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jsonjoy.com/json-pack	1.21.0	Apache-2.0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira memfs. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jsonjoy.com/json-pointer	1.0.2	Apache-2.0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @jsonjoy.com/json-pack. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@jsonjoy.com/util	1.9.0	Apache-2.0	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @jsonjoy.com/json-pack, @jsonjoy.com/json-pointer, memfs. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@leichtgewicht/ip-codec	2.0.5	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira dns-packet. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@mdx-js/mdx	3.1.1	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @docusaurus/mdx-loader, @docusaurus/types. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@mermaid-js/parser	1.2.1	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira mermaid. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@napi-rs/wasm-runtime	0.2.12	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @node-rs/jieba-wasm32-wasi. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@noble/hashes	1.4.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira pkijs. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@node-rs/jieba	1.10.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @easyops-cn/docusaurus-search-local. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@node-rs/jieba-android-arm-eabi	1.10.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @node-rs/jieba. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@node-rs/jieba-android-arm64	1.10.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @node-rs/jieba. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@node-rs/jieba-darwin-arm64	1.10.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @node-rs/jieba. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@node-rs/jieba-darwin-x64	1.10.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @node-rs/jieba. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@node-rs/jieba-freebsd-x64	1.10.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @node-rs/jieba. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@node-rs/jieba-linux-arm-gnueabihf	1.10.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @node-rs/jieba. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@node-rs/jieba-linux-arm64-gnu	1.10.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @node-rs/jieba. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@node-rs/jieba-linux-arm64-musl	1.10.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @node-rs/jieba. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@node-rs/jieba-linux-x64-gnu	1.10.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @node-rs/jieba. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@node-rs/jieba-linux-x64-musl	1.10.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @node-rs/jieba. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@node-rs/jieba-wasm32-wasi	1.10.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @node-rs/jieba. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@node-rs/jieba-win32-arm64-msvc	1.10.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @node-rs/jieba. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@node-rs/jieba-win32-ia32-msvc	1.10.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @node-rs/jieba. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@node-rs/jieba-win32-x64-msvc	1.10.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @node-rs/jieba. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@nodelib/fs.scandir	2.1.5	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @nodelib/fs.walk. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@nodelib/fs.stat	2.0.5	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @nodelib/fs.scandir, fast-glob. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@nodelib/fs.walk	1.2.8	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira fast-glob. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@peculiar/asn1-cms	2.9.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @peculiar/asn1-pfx, @peculiar/asn1-pkcs9, @peculiar/x509. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@peculiar/asn1-csr	2.9.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @peculiar/x509. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@peculiar/asn1-ecc	2.9.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @peculiar/x509. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@peculiar/asn1-pfx	2.9.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @peculiar/asn1-pkcs9. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@peculiar/asn1-pkcs8	2.9.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @peculiar/asn1-pfx, @peculiar/asn1-pkcs9. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@peculiar/asn1-pkcs9	2.9.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @peculiar/x509. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@peculiar/asn1-rsa	2.9.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @peculiar/asn1-pfx, @peculiar/x509. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@peculiar/asn1-schema	2.9.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @peculiar/asn1-cms, @peculiar/asn1-csr, @peculiar/asn1-ecc e altri 7. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@peculiar/asn1-x509	2.9.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @peculiar/asn1-cms, @peculiar/asn1-csr, @peculiar/asn1-ecc e altri 5. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@peculiar/asn1-x509-attr	2.9.4	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @peculiar/asn1-cms, @peculiar/asn1-pkcs9. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@peculiar/utils	2.0.3	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @peculiar/asn1-schema, @peculiar/asn1-x509. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@peculiar/x509	1.14.3	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira selfsigned. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
@pnpm/config.env-replace	1.1.0	MIT	compatibile	Dipendenza transitiva: il progetto non l'ha scelta, la tira @pnpm/npm-conf. La ragione della sua presenza e' quella del componente che la richiede.	https://github.com/fedcal/Telemedic/security/dependabot
