# Vincoli in vigore
#
# GENERATO. Non si modifica a mano: si modifica la bacheca inter-agenti
# .telemedic/context/05_BACHECA_INTERAGENTI.md e si riesegue
# scripts/genera-registri-di-vincoli-e-questioni.py.
#
# Formato: file di testo separato da carattere TAB, codifica UTF-8. Le righe che
# iniziano con # sono commenti. Segue l'intestazione delle colonne e poi una riga
# per voce. Nessuna cella contiene un carattere TAB.
#
# Colonne: sigla, emittente, destinatarie, testo, stato
# Voci: 98

sigla	emittente	destinatarie	testo	stato
V-193	`GUIDA`	`ARCH`, `TECH`, `FUNZ`	**Ogni parametro configurabile dichiara a quale dei quattro piani appartiene**: deciso nel codice · configurazione di installazione · configurazione di tenant · configurazione per assistito. La classificazione è **un dato verificabile, non una convenzione documentale**, ed è il corollario operativo del principio «la configurazione non rimuove un'invariante» (`docs/02_architecture/01-visione-architetturale.md` §5, P5) e di `V-02`. Conseguenza che il modulo 16 §9.3 rende esplicita e che va tenuta ferma: **le soglie cliniche non sono configurazione di tenant**, che può fissarne solo i limiti; un parametro clinico che compaia nel piano «configurazione di tenant» è un difetto di perimetro, non una comodità. Senza la classificazione, la domanda «questo comportamento è deciso o configurato?» viene risolta caso per caso da chi implementa, e la risposta cambia da modulo a modulo. `docs/10_fondamenti/16-architettura-del-progetto.md` §9	VINCOLO
V-194	`GUIDA`	`ARCH`, `TECH`, `PROD`	**Il modulo dei fondamenti non è fonte architetturale: introduce.** `docs/10_fondamenti/16-architettura-del-progetto.md` costruisce l'intuizione e ricostruisce il ragionamento; la **fonte** resta `docs/02_architecture/` e il registro `docs/adr/`. Tre conseguenze operative, simmetriche a `V-200` per la panoramica: (a) quando l'area architetturale cambia si riallinea il modulo 16, **mai il contrario**; (b) una divergenza si risolve **sempre** a favore dell'area, e chi la rileva la porta qui invece di correggerla d'ufficio; (c) **nessuna affermazione architetturale sostanziale può esistere soltanto nel modulo 16** - se ve ne compare una, è l'area architetturale a doverla assorbire, con l'ADR corrispondente. Vale in particolare per le decisioni ricostruite in §10, che sono **riletture** degli ADR e non loro sostituti	VINCOLO
V-170	`COMP`	tutte	**Il controllo delle modifiche è una misura di conformità, non una prassi di progetto.** Una proposta che introduca una delle funzioni dell'elenco chiuso fuori perimetro - soglia proposta dal sistema, evidenziazione su intervalli non configurati dal professionista, ordinamento per gravità, interpolazione dei buchi, indici sintetici, miglioramento d'immagine, misurazione su immagine, codifica automatica, sintesi automatica, rilevazione biometrica, dichiarazione di compatibilità con un apparecchio nominato, traduzione automatica di contenuto clinico - **non si valuta nel merito tecnico: si rifiuta per politica di perimetro**, con motivazione regolatoria scritta. Vale anche per l'introduzione di un componente di intelligenza artificiale, che è un cambio di regime normativo e non una scelta tecnica. Elenco e presidio in `docs/08_compliance/02-qualificazione-e-classificazione.md` §§6, 10. **Le stesse esclusioni tengono insieme la classe di rischio a IIa e la classe di sicurezza del software a B: cadono insieme e il costo si somma**	VINCOLO
V-171	`COMP`	tutte, in particolare `PROD`, `GUIDA`	**Formule vietate in ogni artefatto pubblico**, sullo stesso fondamento di `V-133` esteso al piano regolatorio: l'art. 7 e l'art. 2, punto 12, del Regolamento (UE) 2017/745 fanno del materiale promozionale materiale regolatorio, e il divieto di dichiarazioni fuorvianti **non presuppone la marcatura**. Nessun testo del progetto - pagina, `README`, titolo di sezione, descrizione di interfaccia, messaggio di errore, annuncio - può affermare o lasciare intendere una conformità, una marcatura o una certificazione inesistenti. Tabella delle formule vietate e delle formule ammesse in `docs/08_compliance/01-inquadramento-normativo.md` §11. La verifica **non è documentale ma di processo**: si salda con `Q-174`	VINCOLO
V-172	`COMP`	tutte	**Spazio riservato degli identificativi dei documenti regolatori**: `MDR-*`, `QMS-*`, `SW-*`, `RM-*`, `UE-*`/`UEF-*`, `CE-*`/`PMCF-*`, `PMS-*`/`PSUR-*`/`VIG-*`, `ON-*`. Nessuna area può coniare un identificativo in questi prefissi senza dichiararlo qui. Regola di disambiguazione già in vigore: **i documenti regolatori di sicurezza portano sempre un sotto-prefisso alfabetico** (`SEC-LC-*`, `SEC-TM-*`, …); la forma `SEC-` seguita da sole cifre è riservata ai requisiti e non va mai usata per un documento. `docs/08_compliance/03-sistema-di-gestione-della-qualita.md` §5	VINCOLO
V-173	`COMP`	`TECH`, `ARCH`, `ROAD`	**Nessuna etichetta di versione mobile**, su nessuna dipendenza, immagine di base o strumento della catena di costruzione. Non è preferenza operativa: la clausola 8.1.2 di IEC 62304 richiede che ogni elemento di configurazione sia identificato per titolo, produttore e **versione**, e un'etichetta mobile identifica una versione diversa a ogni costruzione, rende non riproducibile l'artefatto, impedisce la valutazione dell'impatto dell'aggiornamento e **rende falsa la distinta dei materiali del rilascio precedente**. L'aggiornamento è **un atto**, con data, motivazione e valutazione. Bloccante nella catena di costruzione. `docs/08_compliance/03-sistema-di-gestione-della-qualita.md` §9.3	VINCOLO
V-174	`COMP`	tutte	**La documentazione pubblicata non è documentazione controllata.** Nessun capitolo di `docs/` è una procedura del sistema di gestione della qualità né un documento del fascicolo tecnico, e nessuna area può presentarlo come tale: i capitoli sono **ingressi**, contengono l'analisi da cui un documento controllato si scrive. Conseguenza operativa dichiarata in `docs/08_compliance/04-fascicolo-tecnico.md` §7: nella matrice dei requisiti generali il progetto può compilare tutto **tranne** la colonna «identificazione precisa dei documenti controllati», che presuppone un sistema di controllo dei documenti di un fabbricante. È il punto di giunzione dell'intero modello di `D49`. **Nota `D58`**: il vincolo **non si attenua**. Cambia soltanto a chi tocca istituire il controllo dei documenti - a noi - e la ragione per cui la documentazione non è controllata non è più l'assenza del soggetto ma **l'assenza del sistema**: `docs/08_compliance/02-qualificazione-e-classificazione.md` §5.2	VINCOLO
V-175	`COMP`	`FUNZ`, `PROD`, `INTEG`, `TECH`	**Collegamento bidirezionale fra usabilità e accessibilità.** Il fascicolo di ingegneria dell'usabilità dichiara, per ogni **caratteristica dell'interfaccia legata alla sicurezza**, quali criteri di accessibilità la rendono percepibile e azionabile; il rapporto di conformità all'accessibilità dichiara, per ogni criterio verificato su quelle caratteristiche, **che è anche misura di controllo del rischio**. Conseguenza operativa e verificabile meccanicamente: **l'elenco delle caratteristiche legate alla sicurezza e l'elenco dei criteri oggetto di non conformità dichiarata hanno intersezione vuota**. Un criterio di accessibilità che copre una funzione legata alla sicurezza **non è una non conformità dichiarabile: è un rischio d'uso non controllato**. Serve a impedire che un adempimento di accessibilità assorba un difetto di sicurezza. `docs/08_compliance/06-usabilita-e-accessibilita.md` §6.3	VINCOLO
V-176	`COMP`	`TECH`, `ARCH`, tutte le aree con prove in integrazione continua	**Evidenza citabile.** Ogni esito di prova destinato a essere citato come evidenza - clinica o tecnica - va prodotto in **forma citabile** e conservato come **artefatto immutabile**: versione esatta del software, ambiente dichiarato, data e ora, esecutore, esito, impronta di integrità. **Un rapporto rigenerabile ma non conservato non è evidenza**: al momento della citazione l'ambiente è cambiato e chi chiede di vedere l'esito citato ne riceve un altro. È requisito distinto e più stringente della ricostruibilità richiesta da IEC 62304, perché il destinatario è esterno. `07-valutazione-clinica.md` §3.1	VINCOLO
V-177	`COMP`	`ARCH`, `FUNZ`, `DOM`, `TECH`	**Le grandezze del seguito clinico si progettano prima del piano che le promette.** Ciò che il piano di seguito clinico post-commercializzazione si impegna a raccogliere deve **esistere come dato**, con definizione stabile, versionata e confrontabile fra installazioni e nel tempo, **prima** che il piano sia scritto: progettare la strumentazione dopo significa scoprire che il dato non c'è, e il periodo trascorso non si recupera. La definizione di ciascuna grandezza è versionata - cambiarla senza cambiarne il nome rende la serie storica incomparabile e vanifica il seguito **senza che nessuno se ne accorga**. Nessuna di queste grandezze contiene contenuto clinico (`V-150`), ed è una condizione, non una coincidenza. `07-valutazione-clinica.md` §7.1	VINCOLO
V-178	`COMP`	`TECH`, `SEC`, `ARCH`, `FUNZ`	**Due capacità senza cui l'obbligo di vigilanza non è materialmente soddisfacibile.** **(a) Tassonomia stabile degli eventi contati**: gli eventi non gravi vanno contati in modo confrontabile fra installazioni e nel tempo; rinominare o accorpare una categoria rende la serie incomparabile e **fa sparire l'aumento significativo invece di rilevarlo**. **(b) Conservazione dei segnali di diagnostica pari almeno alla finestra entro cui una segnalazione può arrivare**: il termine è **determinato dagli obblighi di vigilanza, non dal fabbisogno operativo**, ed è distinto dai termini di `V-152`, che rispondono ad altra fonte. Proposta motivata: **dodici mesi configurabili** per i segnali riferibili a una prestazione o a un allarme, con determinazione finale del fabbricante perché dipende dal termine contrattuale imposto agli utilizzatori. `[NV]` sul valore: nessuna fonte fissa un termine per la diagnostica. **Chiude Q-116.** `08-sorveglianza-post-commercializzazione.md` §5.2	VINCOLO
V-179	`COMP`	tutte	**EMENDATO DA `D58` nel destinatario, non nella sostanza.** «Sistema qualità di chi certifica» si legge ora **sistema di gestione della qualità del fabbricante**, ruolo che il progetto **intende** assumere e il cui soggetto **è ancora da costituire**; il fabbricante può essere anche un integratore sulla propria distribuzione. **Gli artefatti del progetto vi entrano come ingressi identificati, mai come documenti controllati.** Chi li acquisisce li **riemette sotto il proprio controllo documentale**, con proprio identificativo, revisione e approvazione. Perché la riemissione sia possibile e tracciabile, ogni artefatto destinato al pacchetto regolatorio porta **versione, data e impronta di integrità verificabile**, risolvibile a partire dal materiale pubblico del progetto. Un artefatto acquisito senza queste tre proprietà **non è giustificabile in sede di audit**, perché il fabbricante non può dimostrare che cosa abbia acquisito e quando. È il complemento operativo di `V-174`: quello dice che questi capitoli **non sono** procedure, questo dice che cosa serve perché possano diventare l'ingresso di una procedura altrui. `09-percorso-e-calendario.md` §7.2	VINCOLO
V-270	`COMP`	tutte	**Registro obbligatorio per nominare il ruolo di fabbricante e l'intenzione di certificare** (attua `D57`, `D58` e `V-06` emendato). **L'espressione «chi certifica» come soggetto terzo è vietata in ogni artefatto.** Al suo posto, secondo il contesto: **«il progetto nel ruolo di fabbricante»** dove si parla di chi intende intraprendere il percorso; **«il fabbricante»** dove si parla di un atto che la norma riserva a quel ruolo formale a prescindere da chi lo eserciti - apporre la marcatura, firmare la dichiarazione, comporre il fascicolo, nominare il responsabile del rispetto della normativa: **atti che restano riservati anche quando il ruolo sarà nostro**, e la distinzione non va cancellata perché è ciò che rende leggibile perché non si possono anticipare; **«il soggetto fabbricante, da costituire»** dove il passo presuppone l'esistenza giuridica che oggi manca; **«chi installa»** o **«chi integra»** dove il testo si riferisce a loro. **Quattro regole di forma, non negoziabili**: (a) l'intenzione si esprime con il verbo **«intende»**, mai con un futuro indicativo; (b) **l'assenza del soggetto giuridico si ripete nella stessa frase** in cui l'intenzione compare, mai in nota; (c) **lo stato di fatto negativo sta in prima posizione**, in grassetto, prima di qualunque menzione del percorso - nessuna marcatura CE, nessuna dichiarazione di conformità; (d) **nessuna data, nessuna finestra, nessun «entro»**, e l'unica occorrenza ammessa di quella parola è dentro l'enunciato del divieto. Istituito in `docs/08_compliance/01-inquadramento-normativo.md` §11, dichiarato in `docs/08_compliance/00-indice.md` §1.1	VINCOLO
V-271	`COMP`	tutte, in particolare `PROD`, `GUIDA`, `ROAD`	**Il varco «stanno certificando, allora posso usarlo» va chiuso per iscritto ovunque l'intenzione di certificare compaia.** Non basta non affermare la marcatura: l'intenzione dichiarata è essa stessa un elemento da cui un lettore ricava una conclusione operativa, e la conclusione è **sbagliata**. Ogni artefatto che nomina il percorso deve dire, nello stesso luogo, che **l'intenzione non copre nessuno, non trasferisce alcun obbligo e non rende utilizzabile una versione non certificata**: chi installa, integra o mette in servizio assume per intero gli obblighi che ne derivano. Corollario tecnico da `DISTRIBUTION-POLICY.md`: **ricostruire i sorgenti non riproduce il dispositivo** - ciò che fa di un artefatto *quel* dispositivo è la catena di costruzione controllata e il rilascio sotto il sistema di gestione della qualità del fabbricante - e senza dirlo la distinzione fra repository e distribuzione si legge come formalità di denominazione. `docs/08_compliance/04-fascicolo-tecnico.md` §12.1	VINCOLO
V-272	`COMP`	tutte	**La traccia di destinazione d'uso non è una dichiarazione, e la ragione è cambiata: dirla per esteso è obbligatorio.** Non è più «manca il soggetto che dichiara» - `D58` ha smentito quella formulazione - ma **manca il sistema di controllo documentale che rende una dichiarazione tale**: senza approvazione prima dell'emissione, riesame e riapprovazione alle modifiche, identificazione dello stato di revisione, disponibilità della versione applicabile nei punti d'uso e protezione dalle versioni superate (ISO 13485:2016, 4.2.4; registrazioni, 4.2.5), **ciò che si firma è una firma su un testo, non una dichiarazione**, perché non è dimostrabile a quale revisione si riferisca. La condizione nuova è **verificabile e a nostro carico**, quindi rende il documento più oneroso, non meno. Nessuna area può riscrivere la motivazione nella forma vecchia. `docs/08_compliance/02-qualificazione-e-classificazione.md` §5.2	VINCOLO
V-273	`COMP`	`FUNZ`, `PROD`, `INTEG`, `TECH`, tutte	**La dichiarazione di accessibilità del servizio non è mai del progetto, e non lo diventa per effetto di `D58`.** Il soggetto obbligato è **chi eroga il servizio in rete**, cioè chi installa e mette in esercizio; il progetto è obbligato alle **proprietà di accessibilità del prodotto**, che sono cosa distinta e che nessun deployer può aggiungere a valle. Il vincolo esiste perché `D58` rende il malinteso disponibile: chi legge che il progetto intende assumere il ruolo di fabbricante può concluderne che quel ruolo assorba anche l'obbligo di dichiarazione, e **non è così** - il fabbricante di un dispositivo non è, per ciò solo, il fornitore del servizio in rete, e le due posizioni hanno fonti, presupposti e destinatari diversi. Conseguenze operative: nessun artefatto del progetto contiene, allega o anticipa una dichiarazione di accessibilità riferita a un servizio; ciò che il progetto fornisce è il **materiale che rende la dichiarazione compilabile** - criteri verificati con metodo e data, non conformità con misura alternativa, percorsi critici coperti, versione della norma su cui la verifica è stata condotta. **Corollario da `V-175`**: un criterio che copre una funzione legata alla sicurezza **non è una non conformità dichiarabile**, quindi non entra in quella dichiarazione in nessun caso. `docs/08_compliance/06-usabilita-e-accessibilita.md` §9	VINCOLO
V-274	`COMP`	tutte	**L'analisi di equivalenza dell'Allegato XIV non entra nella documentazione pubblica del progetto, in nessuna forma e in nessuna fase.** Nomina necessariamente un dispositivo di confronto e viola `R0` per costruzione; appartiene al **fascicolo tecnico sotto il controllo dei documenti del fabbricante**, non al repository. Il vincolo **non si attenua** per effetto di `D58`: l'assunzione del ruolo di fabbricante sposta **chi redige** quel documento, **non dove il documento vive**. Va inoltre corretta la motivazione vecchia, che era «è documento di un terzo» ed è caduta insieme al terzo: la ragione vera è di **perimetro della documentazione pubblica**, e regge da sola. Ogni riferimento a un possibile dispositivo di confronto, anche solo di categoria merceologica, resta generico e non identificativo. `docs/08_compliance/07-valutazione-clinica.md` §6.1	VINCOLO
V-200	`PROD`	tutte	**La panoramica non è fonte: instrada.** Nessuna affermazione sostanziale può esistere **soltanto** in `docs/00_overview/`. La panoramica cita e rinvia; la fonte resta l'area competente, e ogni enunciato della panoramica è tracciabile a un capitolo di area, a una decisione `D*`, a un vincolo di bacheca o a un documento alla radice del repository. Tre conseguenze: (a) quando un'area cambia si riallinea la panoramica, **mai il contrario**; (b) una divergenza fra panoramica e area si risolve **sempre** a favore dell'area, e chi la rileva la porta qui invece di correggerla d'ufficio; (c) la panoramica **non duplica** il testo dei documenti alla radice del repository - li cita per indirizzo assoluto - perché due copie di un materiale che dichiara destinazione d'uso e limiti d'uso sono, ai sensi dell'art. 7 dell'MDR, due dichiarazioni che possono divergere, e non un problema di manutenzione documentale. Recepisce l'argomento di `GUIDA` e `COMP` su `Q-26`	VINCOLO
V-201	`PROD`	tutte	**Chiude la parte `PROD` di `Q-147`. Nessun materiale pubblico usa una sola tassonomia delle prestazioni.** Dove compaiono le prestazioni - pagina pubblica, panoramica, `README`, risposta a capitolato, materiale commerciale - devono essere visibili **entrambe** le tassonomie e la loro non coincidenza: le cinque attività dell'Accordo 215/CSR 2020 e i quattro servizi minimi del DM 21 settembre 2022. In particolare **teleconsulto e teleconsulenza non si presentano mai come un'unica prestazione**, benché stiano in un unico servizio minimo, perché hanno attori ammessi diversi e **il vincolo professionale si applica all'attività, non al servizio** (`BR-011`). Presentare «i quattro servizi» senza dire che sotto uno di essi stanno due attività distinte induce esattamente l'errore di autorizzazione che `BR-011` esiste per impedire. Applicato in `docs/00_overview/02-le-quattro-prestazioni.md` §§2–3 e §5.2	VINCOLO
V-202	`PROD`	tutte	**Chiude `Q-121` e il residuo `PROD` di `Q-14`. Formulazione pubblica della copertura oraria del servizio.** La copertura oraria **non si presenta mai come livello di servizio commerciale né come opzione di listino**: è una misura di controllo del rischio del livello più debole della gerarchia - informativa - e presentarla come parametro negoziabile ne autorizza la riduzione senza la valutazione che `RF-314` impone. **Nessun materiale può dichiarare una copertura più ampia di quella effettivamente presidiata**, e la coerenza fra materiale pubblico e copertura configurata è verifica di rilascio, non revisione editoriale. La formula di riferimento di `docs/03_functional/05-gestione-degli-allarmi.md` §11 **non va annacquata in alcun materiale**: dichiara che il servizio non sostituisce il sistema di emergenza, che fuori dagli orari indicati i dati non sono valutati da un professionista, e indica il canale configurato. Corollario che quest'area aggiunge: è ammesso dire *che cosa il servizio fa entro la copertura dichiarata dal titolare*; **non** è ammesso presentare una copertura come caratteristica del prodotto, perché la copertura è del soggetto che eroga e non del software. Applicato in `docs/00_overview/02-le-quattro-prestazioni.md` §7.6 e `03-a-chi-si-rivolge.md` §3.1	VINCOLO
V-203	`PROD`	`COMP`, `GUIDA`, `ROAD`	**Accolta la parte `PROD` di `Q-174`: nessun testo pubblico si pubblica senza passaggio di revisione regolatoria**, con la tabella delle formule vietate di `docs/08_compliance/01-inquadramento-normativo.md` §11 e l'elenco di `docs/04_protocols/10-conformita-e-prove.md` §2 come lista di controllo congiunta. Vale per pagina pubblica, panoramica, `README`, descrizione del repository, annunci, note di rilascio e risposte a capitolato. Quest'area aggiunge il motivo per cui il presidio va rafforzato proprio sulla panoramica: **è il testo del progetto con il rapporto più alto fra visibilità e densità di affermazioni sintetiche**, ed è quindi il punto in cui una sintesi involontariamente più forte dell'originale ha la probabilità maggiore di essere citata da un terzo come destinazione d'uso (art. 2, punto 12, MDR). Regola operativa che ne discende e che quest'area si è applicata: **una sintesi non può essere più affermativa della fonte che sintetizza**; nel dubbio si cita la fonte invece di riformularla	VINCOLO
V-280	`ROAD`	tutte	**Riformula `V-180` alla luce di `D57` e `D58`. La roadmap è pianificazione interna del progetto.** Nessun documento presenta i traguardi o il calendario come «percorso di un terzo», «calendario di chi certifica» o «traguardi di terzi»: **il titolare della pianificazione è il progetto**, compreso il percorso di conformità, e dove un passo presuppone formalmente il ruolo di fabbricante si scrive che quel ruolo **va costituito e formalizzato** (`Q-280`). Restano non dichiarabili le sole date che la norma pone in capo a un soggetto diverso: il termine di adeguamento del singolo utilizzatore (`V-186`) e l'accreditamento del fornitore di servizi verso la federazione nazionale (`V-05`, `OUT-22`). **Limite invalicabile che accompagna il vincolo e non se ne separa: una data di pianificazione interna non è una promessa di esito.** In nessun materiale si scrive che il prodotto **sarà marcato entro una data** (`V-171`), e resta dichiarato con la stessa evidenza di prima che **oggi il prodotto non reca marcatura CE**, non è coperto da alcuna dichiarazione di conformità, e chi installa, integra o mette in servizio assume comunque gli obblighi che ne derivano	VINCOLO **Strato di `D63`, 26 agosto 2026.** Il committente ha deciso che il sistema deve essere adatto all'erogazione di prestazioni su pazienti reali. La decisione **rafforza questo vincolo invece di allentarlo**: quanto più l'obiettivo è deciso, tanto più una data di pianificazione interna assomiglia a una promessa di esito agli occhi di chi legge, e tanto più il divieto di scrivere che il prodotto sarà marcato entro una data è la sola cosa che tiene separate le due letture. `RU-1` del 30 novembre 2026 è un traguardo ingegneristico e **resta non utilizzabile su pazienti**: sta su un calendario diverso da quello del percorso di conformità, e accostare i due produrrebbe la dichiarazione fuorviante che l'art. 7 del Regolamento (UE) 2017/745 vieta.
V-281	`ROAD`	tutte, in particolare `COMP`	**Nessun traguardo entra nel piano se richiede due soggetti distinti e il secondo non esiste.** Sotto `D54` audit interno, riesame del rilascio, verifica di configurazione eseguita da chi non ha scritto il codice e revisione esterna indipendente del codice di sicurezza critico (`D18`) **non sono producibili internamente**: non è un problema di ore, è un problema di persone diverse. La registrazione che ne deriverebbe **si dichiara come lacuna, con la data in cui nasce**, e non si pianifica come attività - pianificare un'attività non producibile è il modo più efficace di farla sparire dalla vista. Conseguenza redazionale: una registrazione prodotta da chi ha svolto l'attività **non va presentata come conformità**; è formalmente presente e sostanzialmente vuota, ed è peggiore dell'assenza perché falsamente rassicurante. Ripartizione aperta in `Q-189`, forma della dichiarazione in `Q-282`. `docs/09_roadmap/01-principi-e-metodo.md` §9-bis; `docs/09_roadmap/03-primo-rilascio-utilizzabile.md` §5.3	VINCOLO
V-282	`ROAD`	tutte	**L'ambito è l'unica variabile libera.** Con la data fissata da `D53` e la capacità da `D54`, uno scostamento **non si assorbe spostando la data e non si assorbe aumentando la capacità**: si assorbe **riducendo l'ambito**, secondo l'ordine di sacrificio dichiarato **in anticipo** in `docs/09_roadmap/03-primo-rilascio-utilizzabile.md` §6, che si esegue dall'alto e **contiene soltanto tagli reversibili**. Non vi entrano mai i criteri di rilascio bloccanti né l'elenco del debito vietato (`01-principi-e-metodo.md` §7.3). **Ogni riduzione si registra con data e causa**: una riduzione non registrata è un taglio non deciso, e fa perdere alla scelta la sola proprietà che `D53` obbliga a garantirle, cioè essere leggibile. Se l'ordine si esaurisce, **la data si dichiara mancata** con la causa registrata, e non si sposta in silenzio	VINCOLO
